1,0.035,0.019,0.009
1,0.035,0.019,0.010
1,0.037,0.020,0.010
1,0.034,0.018,0.009
1,0.034,0.019,0.009
1,0.035,0.020,0.009
1,0.036,0.021,0.009
1,0.037,0.021,0.010
1,0.037,0.021,0.010
1,0.037,0.021,0.010
10,0.038,0.021,0.010
10,0.038,0.021,0.010
10,0.038,0.021,0.010
10,0.037,0.021,0.010
10,0.037,0.021,0.009
10,0.037,0.021,0.009
10,0.037,0.021,0.010
10,0.037,0.021,0.010
10,0.036,0.021,0.010
10,0.036,0.021,0.009
20,0.037,0.021,0.010
20,0.036,0.021,0.009
20,0.037,0.021,0.010
20,0.037,0.021,0.010
20,0.037,0.021,0.010
20,0.037,0.021,0.010
20,0.036,0.020,0.010
20,0.036,0.021,0.009
20,0.036,0.020,0.009
20,0.036,0.020,0.009
30,0.036,0.020,0.010
30,0.037,0.021,0.010
30,0.037,0.021,0.009
30,0.037,0.021,0.010
30,0.037,0.021,0.010
30,0.037,0.021,0.010
30,0.037,0.021,0.010
30,0.037,0.021,0.010
30,0.037,0.021,0.010
30,0.037,0.021,0.010
40,0.038,0.021,0.010
40,0.037,0.021,0.010
40,0.037,0.021,0.010
40,0.038,0.022,0.010
40,0.041,0.023,0.011
40,0.038,0.022,0.010
40,0.037,0.021,0.010
40,0.037,0.021,0.010
40,0.037,0.021,0.010
40,0.038,0.022,0.010
